,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_per_minimum_night,review_rate_per_month
count,34359.0,34359.0,34359.0,34359.0,34359.0,34359.0,34359.0,34359,34359.0,34359.0,34359.0,34359.0,34359.0
mean,18448387.021508195,66052441.33429378,40.72747610204022,-73.94993464157862,141.28030501469775,2.5838353851974736,31.38708926336622,2018-10-11 11:11:19.263075328,1.4880045985040309,3.739078552926453,107.4162519281702,73.51901071875533,93.46212171483454
min,2539.0,2787.0,40.50641,-74.24442,0.0,1.0,1.0,2011-03-28 00:00:00,0.01,1.0,0.0,0.0,0.01
25%,9112854.0,7344340.5,40.68796,-73.98212,69.0,1.0,3.0,2018-07-26 00:00:00,0.22,1.0,0.0,30.0,0.95
50%,19323563.0,30346554.0,40.72051,-73.95405,100.0,2.0,11.0,2019-05-27 00:00:00,0.87,1.0,45.0,50.0,9.0
75%,27930157.5,104913801.0,40.76273,-73.93313,170.0,3.0,37.0,2019-06-24 00:00:00,2.25,2.0,204.0,87.5,68.25
max,36455809.0,273841667.0,40.91306,-73.71299,10000.0,8.0,629.0,2019-07-08 00:00:00,58.5,327.0,365.0,8000.0,9170.82
std,10680532.857602859,76924439.0084307,0.05565159550709916,0.04785759941363278,174.22924538906204,1.5969025822077998,49.97168466324337,,1.7358464378149128,24.05891312974563,126.56027011792318,118.25724785370222,273.07278660153054
